2023-05-28 10:45:30 DEBUG    PROCESS: id list: [1, 2, 3, 4],ip list ['10.0.0.1', '10.0.0.2', '10.0.0.3', '10.0.0.4']
2023-05-28 10:45:33 INFO     ----- EVALUATION CHECKPOINT: message receiving, time: 1685263533576.5583 -----
2023-05-28 10:45:33 INFO     Message received by 10.0.0.1: {'Flag': 'MSG', 'Source': 1, 'Message': 'hello', 'SequenceNumber': 0, 'HMAC': '8b509104fca0fc2aedd92d8b2a5fdabe6221061a95ac08e8ddfa35b3a0443dfa'}
2023-05-28 10:45:33 INFO     ----- EVALUATION CHECKPOINT: message receiving, time: 1685263533578.255 -----
2023-05-28 10:45:33 INFO     Message received by 10.0.0.2: {'Flag': 'ECHO', 'Source': 1, 'Message': '2cf24dba5fb0a30e26e83b2ac5b9e29e1b161e5c1fa7425e73043362938b9824', 'SequenceNumber': 0, 'HMAC': '245afc377063c0c33d132671099705f6b6a1cf9df802264b1bfbda2639025cc8'}
2023-05-28 10:45:33 INFO     ECHOS COUNTER: {('ECHO', 1, '2cf24dba5fb0a30e26e83b2ac5b9e29e1b161e5c1fa7425e73043362938b9824', 0): 1}, ECHOS RECEIVED:[['ECHO', 1, 0, 2]] ECHOS SENT: [['ECHO', 1, 0]]
2023-05-28 10:45:33 INFO     MSG SET {(1, 0): ['hello']}
2023-05-28 10:45:33 INFO     ACC COUNTER: {}, ACC RECEIVED:[] ACC SENT: []
2023-05-28 10:45:33 INFO     ----- EVALUATION CHECKPOINT: message receiving, time: 1685263533581.5469 -----
2023-05-28 10:45:33 INFO     Message received by 10.0.0.3: {'Flag': 'ECHO', 'Source': 1, 'Message': '2cf24dba5fb0a30e26e83b2ac5b9e29e1b161e5c1fa7425e73043362938b9824', 'SequenceNumber': 0, 'HMAC': '5567d877688f6772195afea3c7b35427954b3ac95b67e30f2d52a608d0bfcb26'}
2023-05-28 10:45:33 INFO     {'Flag': 'ECHO', 'Source': 1, 'Message': '2cf24dba5fb0a30e26e83b2ac5b9e29e1b161e5c1fa7425e73043362938b9824', 'SequenceNumber': 0, 'HMAC': '71e09f487b50dc1f08fb202d2ddd04507428bff3f3ce57cc14d99e579b6add0f'} sento to <10.0.0.1,1>
2023-05-28 10:45:33 INFO     ECHOS COUNTER: {('ECHO', 1, '2cf24dba5fb0a30e26e83b2ac5b9e29e1b161e5c1fa7425e73043362938b9824', 0): 2}, ECHOS RECEIVED:[['ECHO', 1, 0, 2], ['ECHO', 1, 0, 3]] ECHOS SENT: [['ECHO', 1, 0]]
